Episode_Reward,Episode_Return,Success
-23.922512951955028,16.649871752697003,0
-85.13147154390929,-33.33363310278365,0
19.11571945165622,45.679659135318985,0
13.427462895778653,43.389506113661355,0
-35.34036354828352,10.41928372111148,0
-30.368906030626178,9.897590506682397,0
-34.296106750039044,-9.845526380411815,0
-2.0227863115476987,46.08787375936534,0
40.11174459479433,21.964244315263915,0
-74.06113518610849,-36.64450041956981,0
-6.383508284613759,20.255976709447072,0
-25.857312424887567,15.841025485940143,0
61.62186381291908,64.17975024898112,0
-13.667525658421283,-1.874054505056717,0
35.23332797670096,65.97166157563699,0
-239.74107672890702,-39.24340921808109,0
56.387436857727906,11.654784764599416,0
36.39589654740137,47.4841450827174,0
-15.433563632935133,-1.5092539961204647,0
-32.08625613412252,-14.338200182722595,0
-10.827724172125812,-3.2585666874409434,0
-39.713007255269915,-7.1630411947086206,0
26.807970711788805,33.984503824918534,0
-33.27601516253378,5.135651765125036,0
-23.483938684014447,2.3479534286940713,0
-198.02340849824645,-19.814260195257848,0
-178.63186424978807,-9.714771242844263,0
-106.71198553999879,20.769688739295113,0
-9.289090817137094,7.570247709565295,0
-162.97764761914988,-25.468253324599996,0
-45.35378645904082,4.89366533239791,0
-14.644258298176666,5.611183861919206,0
-33.32054599156149,11.824074276709736,0
-133.70156607533636,-29.360309728252833,0
76.01697887503232,44.907052522361575,0
-293.0861840510229,15.862020252357093,0
-75.25119630851127,49.89058420147394,0
-337.36664888173766,33.50221274538002,0
38.894625951029035,18.188350776951502,0
-34.687604366315895,39.11143402795341,0
24.004343246509563,27.9373840714657,0
104.85651918469634,48.53714582458273,0
-59.5159753810502,-13.898807757398602,0
-157.5030743698717,-56.47215015914471,0
20.654640480671958,30.85942677633036,0
32.828195552109335,35.55254055041316,0
192.65630471216355,53.86178120921813,0
-16.3275009749199,-4.912971372688735,0
-174.51117028674003,22.803204372699806,0
82.7666976230182,29.730451738683612,0
-41.297854591260474,-1.3793324165721688,0
-273.3509136986098,42.64206751880193,0
-18.437974957988246,6.654960352146588,0
-168.59047347557535,9.396395259509994,0
-8.651244616429878,37.103816259094586,0
9.849684549568181,10.278118784017263,0
-139.53683491105554,32.3837300414875,0
-18.221404367824064,3.2184664267461396,0
258.8735766866513,59.737348386279024,1
-71.77365208701823,-21.98705665884741,0
91.12500522444498,53.62399680867646,0
82.62201527298657,37.09813635425239,0
5.111860839402436,28.74062902653964,0
-145.828316585883,26.184855323962225,0
70.67729366445685,15.939200751728613,0
-140.94195698068722,19.687806810582096,0
0.9488236397063474,12.760907109115163,0
50.47839846180588,38.39809321233507,0
99.22287286686948,42.1656661177285,0
